"sample_id","Homo_zygote_gain","Hemi_zygote_gain","NoChange","Hemi_zygote_loss","Homo_zygote_loss","type_status","HoGain","HeGain","HeLoss","HoLoss","CNV_Changed","Gain","Loss","CNV_D","CNV_Status","Gain_n","Loss_n","Loss_ov_Gain","Loss_eq_Gain","Condition","QuantileThreshold","Cluster"
"TCGA.EJ.7218.01",0,0,23727,0,1049,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,1,2,0,1,TRUE,FALSE,0.0423393606716177,"(0.031,0.0836]",2
"TCGA.EJ.7312.01",0,308,20680,3760,28,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,2,0,1,1,FALSE,FALSE,0.165321278656765,"(0.0836,0.184]",3
"TCGA.EJ.7314.01",2,1648,22332,786,8,TRUE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,1,1,1,0,FALSE,FALSE,0.0986438488860187,"(0.0836,0.184]",3
"TCGA.EJ.7315.01",386,0,22324,2047,19,TRUE,TRUE,FALSE,TRUE,FALSE,2,TRUE,TRUE,2,0,1,1,FALSE,FALSE,0.0989667420083952,"(0.0836,0.184]",3
"TCGA.EJ.7317.01",0,0,23581,560,635,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,1,2,0,1,TRUE,FALSE,0.0482321601549887,"(0.031,0.0836]",2
"TCGA.EJ.7318.01",670,0,22446,1366,294,TRUE,TRUE,FALSE,TRUE,TRUE,3,TRUE,TRUE,2,0,1,2,FALSE,FALSE,0.0940426218921537,"(0.0836,0.184]",3
"TCGA.EJ.7321.01",0,0,23738,1012,26,TRUE,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,1,2,0,1,TRUE,FALSE,0.04189538262835,"(0.031,0.0836]",2
"TCGA.EJ.7325.01",0,0,23707,1069,0,TRUE,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,1,2,0,1,FALSE,TRUE,0.0431465934775589,"(0.031,0.0836]",2
"TCGA.EJ.7327.01",9,0,23757,514,496,TRUE,TRUE,FALSE,FALSE,TRUE,2,TRUE,TRUE,2,0,1,1,TRUE,FALSE,0.0411285114627058,"(0.031,0.0836]",2
"TCGA.EJ.7328.01",54,716,21217,1605,1184,TRUE,TRUE,TRUE,TRUE,TRUE,4,TRUE,TRUE,2,0,2,2,TRUE,FALSE,0.143647077817242,"(0.0836,0.184]",3
"TCGA.EJ.7330.01",2,2049,20662,2031,32,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,2,0,1,1,FALSE,FALSE,0.166047788182112,"(0.0836,0.184]",3
"TCGA.EJ.7331.01",4,0,24365,0,407,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,1,2,0,1,TRUE,FALSE,0.0165886341620923,"[0,0.031]",1
"TCGA.EJ.7781.01",4,1123,16391,6635,623,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,TRUE,2,0,1,2,TRUE,FALSE,0.338432353890862,"(0.184,0.791]",4
"TCGA.EJ.7782.01",0,674,22569,1533,0,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,2,0,1,1,FALSE,FALSE,0.0890781401356151,"(0.0836,0.184]",3
"TCGA.EJ.7783.01",127,580,19931,4137,1,FALSE,TRUE,TRUE,TRUE,FALSE,3,TRUE,TRUE,2,0,2,1,FALSE,FALSE,0.195552147239264,"(0.184,0.791]",4
"TCGA.EJ.7784.01",0,5545,12123,6221,887,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,TRUE,2,0,1,2,FALSE,FALSE,0.510695834678721,"(0.184,0.791]",4
"TCGA.EJ.7785.01",22,0,24057,0,697,FALSE,TRUE,FALSE,FALSE,TRUE,2,TRUE,TRUE,2,0,1,1,TRUE,FALSE,0.0290200193735873,"[0,0.031]",1
"TCGA.EJ.7786.01",1,538,23338,897,2,TRUE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,1,1,1,0,FALSE,FALSE,0.0580400387471747,"(0.031,0.0836]",2
"TCGA.EJ.7788.01",0,1120,21547,2091,18,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,2,0,1,1,FALSE,FALSE,0.130327736519212,"(0.0836,0.184]",3
"TCGA.EJ.7789.01",1,5247,17157,2371,0,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,2,0,1,1,FALSE,FALSE,0.307515337423313,"(0.184,0.791]",4
"TCGA.EJ.7791.01",2,0,24774,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,FALSE,FALSE,8.07232805941233e-05,"[0,0.031]",1
"TCGA.EJ.7792.01",67,189,24304,0,216,FALSE,TRUE,TRUE,FALSE,TRUE,3,TRUE,TRUE,2,0,2,1,TRUE,FALSE,0.0190506942202131,"[0,0.031]",1
"TCGA.EJ.7793.01",4,0,24604,0,168,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,1,2,0,1,TRUE,FALSE,0.00694220213109461,"[0,0.031]",1
"TCGA.EJ.7794.01",0,0,23717,306,753,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,1,2,0,1,TRUE,FALSE,0.0427429770745883,"(0.031,0.0836]",2
"TCGA.EJ.7797.01",0,0,24137,635,4,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0.0257910881498224,"[0,0.031]",1
"TCGA.EJ.8468.01",508,0,23432,0,836,TRUE,TRUE,FALSE,FALSE,TRUE,2,TRUE,TRUE,2,0,1,1,TRUE,FALSE,0.0542460445592509,"(0.031,0.0836]",2
"TCGA.EJ.8469.01",577,1643,21007,1536,13,TRUE,TRUE,TRUE,TRUE,FALSE,3,TRUE,TRUE,2,0,2,1,FALSE,FALSE,0.152123022279625,"(0.0836,0.184]",3
"TCGA.EJ.8470.01",4,0,22761,1993,18,TRUE,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,1,2,0,1,TRUE,FALSE,0.0813287051985793,"(0.031,0.0836]",2
"TCGA.EJ.8472.01",95,2297,16219,6108,57,FALSE,TRUE,TRUE,TRUE,TRUE,4,TRUE,TRUE,2,0,2,2,FALSE,FALSE,0.345374556021957,"(0.184,0.791]",4
"TCGA.EJ.8474.01",51,0,23318,1076,331,TRUE,TRUE,FALSE,TRUE,TRUE,3,TRUE,TRUE,2,0,1,2,TRUE,FALSE,0.0588472715531159,"(0.031,0.0836]",2
"TCGA.EJ.A46B.01",1,0,24775,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,FALSE,FALSE,4.03616402970617e-05,"[0,0.031]",1
"TCGA.EJ.A46D.01",2,0,24065,709,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0.0286971262512109,"[0,0.031]",1
